ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
IFF,2012-06-30,2012-08-08,2012-08-08,721317000,301543000.0,132308000.0,8.8596e+07,81782000,1,81782000.0,0.31,0.31,5.39267e+08,1.22328e+09,1.04637e+08,9.5236e+08
IFF,2012-09-30,2012-11-06,2012-11-06,708955000,301524000.0,134175000.0,1.6363e+07,81898000,1,81898000.0,0.34,0.34,5.47676e+08,1.24722e+09,9.7181e+07,1.1304e+09
IFF,2012-12-31,2013-02-26,2013-02-26,680558000,287068000.0,99228000.0,6.8119e+07,81833000,1,81833000.0,0.3400000000000001,0.3400000000000001,5.40658e+08,1.24881e+09,3.24422e+08,1.18125e+09
IFF,2013-03-31,2013-05-07,2013-05-07,727836000,311360000.0,137606000.0,9.0697e+07,82024000,1,82024000.0,0.34,0.34,5.15786e+08,1.30661e+09,3.00046e+08,1.11619e+09
IFF,2013-06-30,2013-08-06,2013-08-06,757635000,333986000.0,142396000.0,1.02322e+08,82041000,1,82041000.0,0.34,0.34,5.12784e+08,1.36969e+09,3.65897e+08,1.13315e+09
IFF,2013-09-30,2013-11-05,2013-11-05,742256000,325404000.0,141529000.0,9.9046e+07,82043000,1,82043000.0,0.39,0.39,5.20707e+08,1.43596e+09,3.43149e+08,9.33752e+08
IFF,2013-12-31,2014-02-25,2014-02-25,725169000,313455000.0,94808000.0,6.1479e+07,81930000,1,81930000.0,0.3899999999999999,0.3899999999999999,5.33806e+08,1.46307e+09,4.05505e+08,9.32963e+08
IFF,2014-03-31,2014-05-06,2014-05-06,770224000,341412000.0,156053000.0,1.06707e+08,81732000,1,81732000.0,0.39,0.39,5.52116e+08,1.51652e+09,2.68584e+08,9.36217e+08
IFF,2014-06-30,2014-08-05,2014-08-05,788414000,352647000.0,153115000.0,1.10285e+08,81430000,1,81430000.0,0.39,0.39,5.54871e+08,1.5983e+09,3.26853e+08,9.38725e+08
IFF,2014-09-30,2014-11-04,2014-11-04,773813000,340111000.0,152590000.0,1.07415e+08,81508000,1,81508000.0,0.47,0.47,5.56302e+08,1.63952e+09,4.04836e+08,9.52681e+08
IFF,2014-12-31,2015-03-02,2015-03-02,756082000,327980000.0,130563000.0,9.0136e+07,81494000,1,81494000.0,0.47,0.47,5.68729e+08,1.51856e+09,4.78573e+08,9.50412e+08
IFF,2015-03-31,2015-05-12,2015-05-12,774907000,346277000.0,161793000.0,1.28258e+08,81195000,1,81195000.0,0.47,0.47,5.36465e+08,1.56732e+09,4.43689e+08,9.51928e+08
IFF,2015-06-30,2015-08-10,2015-08-10,767541000,345040000.0,148821000.0,1.05374e+08,81192000,1,81192000.0,0.47,0.47,5.61715e+08,1.623e+09,3.77254e+08,1.00678e+09
IFF,2015-09-30,2015-11-09,2015-11-09,765092000,347126000.0,156713000.0,1.06447e+08,80737000,1,80737000.0,0.56,0.56,5.89463e+08,1.59187e+09,2.72276e+08,1.3241e+09
